Road Name,Cars Down,Motorcycles Down,Cars Up,Motorcycles Up,People Left,People Right
Road_C,0,0,0,0,0,0
Road_C,1,0,0,0,0,0
Road_C,2,0,0,0,0,0
Road_C,2,0,0,0,0,0
Road_C,2,0,0,0,0,0
Road_C,3,0,1,0,0,0
Road_C,3,0,1,0,0,0
Road_C,3,0,1,0,0,0
Road_C,3,0,1,0,0,0
Road_C,3,0,1,0,0,0
Road_C,4,0,2,0,0,0
Road_C,4,0,2,0,0,0
Road_C,4,0,2,0,0,0
Road_C,4,0,2,0,0,0
Road_C,5,0,2,0,0,0
Road_C,6,0,4,0,0,0
Road_C,6,0,5,0,0,0
Road_C,6,0,5,0,0,0
Road_C,6,0,5,0,0,0
Road_C,6,0,5,0,0,0
Road_C,6,0,5,0,0,0
Road_C,7,0,5,0,0,0
Road_C,8,0,7,0,0,0
Road_C,9,0,7,0,0,0
Road_C,9,1,8,0,0,0
Road_C,9,1,8,0,0,0
Road_C,9,1,8,0,0,0
Road_C,9,1,8,0,0,0
Road_C,9,1,8,0,0,0
Road_C,10,1,8,0,0,0
Road_C,11,1,8,0,0,0
Road_C,11,1,9,0,0,0
Road_C,11,1,9,0,0,0
Road_C,11,1,9,0,0,0
Road_C,11,1,9,0,0,0
Road_C,11,1,9,0,0,0
Road_C,12,1,9,0,0,0
Road_C,13,1,10,0,0,0
Road_C,14,1,10,0,0,0
Road_C,14,1,10,0,0,0
Road_C,14,1,10,0,0,0
Road_C,14,1,11,0,0,0
Road_C,14,1,11,0,0,0
Road_C,14,1,11,0,0,0
Road_C,15,1,11,0,0,0
Road_C,16,1,11,0,0,0
Road_C,16,1,11,0,0,0
